FEMALE ID,ReproYears ,SurvivingCalves,sightings,deepP,channelP,shallowP,deepSR,channelSR,shallowSR,tracking time
DF241,10,1,14,0,0.642857143,0.357142857,0,1.857671179,1.086197931,11.30958904
DF242,10,1,27,0.259259259,0.148148148,0.37037037,0.797362598,0.428105292,1.126427484,8.052054795
DF243,18,5,94,0.765957447,0.063829787,0.031914894,2.355733876,0.184449621,0.097064496,23.74520548
DF244,11,1,295,0.444067797,0.152542373,0.227118644,1.365748915,0.440803331,0.690748243,18.75616438
DF245,9,0,80,0.05,0.4375,0.4,0.153777072,1.264248441,1.216541682,13
DF246,18,2,74,0.864864865,0.094594595,0.027027027,2.65992774,0.273351014,0.082198762,20.34246575
DF247,16,1,137,0.605839416,0.072992701,0.226277372,1.863284236,0.21092779,0.688189638,9.58630137
DF248,14,3,58,0.206896552,0.068965517,0.431034483,0.63631892,0.199290395,1.310928537,3.961643836
DF249,10,1,198,0.484848485,0.166666667,0.116161616,1.491171612,0.481618454,0.35328862,16.24931507
DF250,14,3,60,0.533333333,0.2,0.1,1.640288773,0.577942145,0.304135421,5.860273973
DF251,21,2,299,0.494983278,0.173913043,0.120401338,1.522341587,0.502558387,0.366183115,28.31780822
DF252,13,0,41,0.902439024,0.073170732,0,2.775488625,0.211442248,0,21.3260274
